,SName,Lyric,Artist,Songs,Popularity,Genre,Genres
7314,Descobridor Dos Sete Mares,"Uma luz azul me guia. Com a firmeza e os lampejos de um farol. E os recifes lá de cima. Me avisam dos perigos de chegar. Angra dos Reis e Ipanema. Iracema e Itamaracá. Porto Seguro, São Vicente. Braços abertos sempre a esperar. Pois bem, cheguei. Quero ficar bem à vontade. Na verdade, eu sou assim. Descobridor dos sete mares. Navegar eu quero. Uma lua me ilumina. Com a clareza e os brilhos de um cristal. Transando as cores desta vida. Vou colorindo a alegria de chegar. Boa Viagem, Ubatuba. Rio Marinho e Guarujá. Praia Vermelha, Ilhabela. Braços abertos sempre a esperar. Pois bem, cheguei. Quero ficar bem à vontade. Na verdade, eu sou assim. Descobridor dos sete mares. Navegar eu quero. Uma luz azul me guia. Com a firmeza e os lampejos de um farol. E os recifes lá de cima. Me avisam dos perigos de chegar. Angra dos Reis e Ipanema. Iracema e Itamaracá. Portão e Porto de Galinhas. Braços abertos sempre a esperar. Pois bem, cheguei. Quero ficar bem à vontade. Na verdade, eu sou assim. Descobridor dos sete mares. Navegar eu quero",Lulu Santos,271,10.0,Rock,Pop/Rock; Rock; Pop; MPB; Dance; Electronica; Romântico; Funk; Black Music; Gospel/Religioso; Rap; Funk Carioca; K-Pop/K-Rock; House; Disco; Surf Music; Axé; Soul Music; Reggae
7556,Esmola,"Uma esmola pelo amor de Deus. Uma esmola, meu, por caridade. Uma esmola pro ceguinho, pro menino. Em toda esquina, tem gente só pedindo. Uma esmola pro desempregado. Uma esmolinha pro preto pobre doente. Uma esmola pro que resta do Brasil. Pro mendigo, pro indigente. Ele que pede, eu que dou, ele só pede. O ano é mil, novecentos e noventa e tal. Eu tô cansado de dar esmola. Qualquer lugar que eu passe é isso agora. Uma esmola pelo amor de Deus. Uma esmola, meu, por caridade. Uma esmola pro ceguinho, pro menino. Em toda esquina, tem gente só pedindo. Uma esmola pro desempregado. Uma esmolinha pro preto pobre doente. Uma esmola pro que resta do Brasil. Pro mendigo, pro indigente. Eu tô cansado, meu bom, de dar esmola. Essa quota miserável da avareza. Se o país não for pra cada um. Pode estar certo. Não vai ser pra nenhum. Não vai não, não vai não, não vai não, não vai não. Não vai não, não vai não, não vai não. No hospital, no restaurante,. No sinal, no Morumbi. No Mário Filho, no Mineirão. Menino me vê, começa logo a pedir. Me dá, me dá, me dá um dinheiro aí. Menino me vê, começa logo a pedir. Me dá, me dá, me dá um dinheiro aí. Uma esmola pelo amor de Deus. Uma esmola, meu, por caridade. Uma esmola pro ceguinho, pro menino. Em toda esquina, tem gente só pedindo.",Skank,139,12.3,Rock,Pop/Rock; Rock; Pop; Rock Alternativo; MPB; Romântico; Reggae; Ska; Blues; Gospel/Religioso; Trilha Sonora; Axé; Classic Rock; Power-Pop; New Wave; Instrumental; R&B; Psicodelia; Pagode; Funk; Funk Carioca; Dance
1310,Mulheres Negras,"E se um dia tivéssemos que resistir,. e se tudo que fizéssemos fosse em vão?. A vida mesmo assim teria uma razão.. Manter-se de pé e esperar.. E se não fossemos tão jovens ainda estaríamos aqui?. E se não pudéssemos mais cantar,. nem reclamar. nem protestar?. Fingiríamos esquecer nosso ideal. ou lutaríamos agora pra valer?. Os tombos da vida nos fazem crescer. e não devemos desistir.... Mas então vamos lá,. lutar por um ideal.. Se viver é resistir,. então será.... E ai poderemos sorrir como mulheres negras,. que apesar de todo sofrimento se negam a chorar.",Dead Fish,129,0.7,Rock,Hardcore; Rock; Punk Rock; Regional; Rap; Ska; Pós-Punk
3305,Mala & Cia.,"tá por aqui de mágoa. se roendo por dentro. tá com a cabeça inchada. e o sangue fervendo. chorando feito criança. balbuciando vingança. perdeu a compostura. se comprometeu. enquanto for assim quero que você me esqueça. enquanto for assim eu não quero nem saber. enquanto for assim, já falei, quero que você me esqueça. saia, desapareça da minha vida. tá na batida errada. atravessou o tempo. tá cuspindo pro alto. andando contra o vento. vestiu a carapuça. antes que a vaca tussa. vai arrumar a vida. se reconhecer. e se não for assim quero que você me esqueça. e se não for assim eu não quero nem saber. e se não for assim, já falei, quero que você me esqueça. saia, desapareça da minha vida. tá por aqui de mágoa. se roendo por dentro. tá com a cabeça inchada. e o sangue fervendo. chorando feito criança. balbuciando vingança. perdeu a compostura. se comprometeu. tá na batida errada. atravessou o tempo. tá cuspindo pro alto. andando contra o vento. vestiu a carapuça. antes que a vaca tussa. vai arrumar a vida. se reconhecer. e se não for assim quero que você me esqueça. e se não for assim eu não quero nem saber. e se não for assim, já falei, quero que você me esqueça. saia, desapareça da minha vida. e. ( bis ). e quer saber fui",Lulu Santos,271,10.0,Rock,Pop/Rock; Rock; Pop; MPB; Dance; Electronica; Romântico; Funk; Black Music; Gospel/Religioso; Rap; Funk Carioca; K-Pop/K-Rock; House; Disco; Surf Music; Axé; Soul Music; Reggae
5120,Aquele Que Tudo Venceu,"Jogue fora o que ficou. De errado e deixe o tempo tomar conta de nós dois. Me de uma chance não acabou. Apenas uma chance de mostrar quem eu sou. Depois da chuva vem o sol.... O amor que tudo venceu, foi o nosso amor.... Venceu a dor e a forte tempestade que passou.. Depois da chuva vem o sol.. Páginas de um novo amor. Se perdem como sombras que se apagam sem o sol. Sobre nós o que restou?. Sobras de um amor que o tempo não apagou.... Você é a luz do meu sol.. O amor que tudo venceu, foi o nosso amor.... Venceu a dor e a forte tempestade que passou.. Depois da chuva vem o sol.. Lágrimas que caem feito uma tempestade que. Transforma nossa vida a espera de você porque. Você é a luz do meu sol... do meu sol.. O amor que tudo venceu, foi o nosso amor.... Venceu a dor e a forte tempestade que passou.. Depois da chuva vem o sol.",Reação Em Cadeia,84,0.8,Rock,Pop/Rock; Rock; Rock Alternativo; Romântico; Grunge; Psicodelia; Gospel/Religioso; Punk Rock
1110,Uma Criança Com Seu Olhar,"Aqui estou na difícil missão de levar a você. Uma mensagem que possa ser. Como uma luz ou um mantra, nós não somos mais crianças. Um dia acontece, a gente tem que crescer. Temos que encarar a responsa. Eu não deixei de achar graça nas coisas. Simplesmente hoje eu quero ser levado a sério. As coisas mudam sempre mas a vida não é só como eu espero. Existe um dom natural que todos temos. Nossas escolhas vão dizer pra onde iremos. Mas se for pra falar de algo bom. Eu sempre vou lembrar de você. Difícil não lembrar do que nunca se esqueceu. Fácil perceber que seu amor é meu. Difícil não lembrar do que nunca se esqueceu. Fácil perceber que meu amor é seu. Eu quero estar amanhã ao seu lado quando você acordar. Eu quero estar amanhã sossegado e continuar a te amar. Eu quero um sonho realizado, uma criança com seu olhar. Eu quero estar sempre ao seu lado, você me traz paz. Aqui estou na difícil missão de levar a você. Uma mensagem que possa ser. Como uma luz ou um mantra, nós não somos mais crianças. Um dia acontece, a gente tem que crescer. Temos que encarar a responsa. Eu não deixei de achar graça nas coisas. Simplesmente hoje eu quero ser levado a sério. As coisas mudam sempre mas a vida não é só como eu espero. Eu quero estar amanhã ao seu lado quando você acordar. Eu quero estar amanhã sossegado e continuar a te amar. Eu quero um sonho realizado, uma criança com seu olhar. Eu quero estar sempre ao seu lado, você me traz paz. Armadilhas do tempo são como o vento. Levando as folhas para lugares distantes,. O meu pensamento é o mesmo que o seu. Mas hoje meu coração bate mais forte que antes. Certa vez na história,. Eu vim de muito longe só pra ver você,. Fui pra muito longe pra encontrar você,. Eu te entreguei minha alma.",Charlie Brown Jr,208,25.7,Rock,Pop/Rock; Rap; Rock; Reggae; Rock Alternativo; Romântico; Funk; Punk Rock; Hardcore; Hip Hop; Axé; MPB; Hard Rock; Surf Music; K-Pop/K-Rock; Funk Carioca; Forró; Ska; Blues; Metal; R&B; Country; Sertanejo; Electronica; Pop/Punk; Pagode; Gospel/Religioso; Chillout; Rockabilly; Reggaeton; Black Music; Pop; Grunge; Post-Rock; Trip-Hop; Velha Guarda; Pós-Punk; Indie; Disco; Bossa Nova; Folk; Tecnopop; New Wave; Clássico; Dance; J-Pop/J-Rock; Jazz; Jovem Guarda; Gótico; Heavy Metal; Emocore
3306,Manhas e Mumunhas,Não vai me surpreender. Quando a ciência revelar. Que numa vida a dois. Somente a dor se iguala à alegria. E que essa dor é uma experiência. Que de algum jeito nos transformaria. Já a alegria lubrifica o dia-a-dia. Que a essa altura separar. Seria como carne da unha. Cada um já sabe do outro. Todas as manhas e mumunhas. Não vou me compensar. Investindo em fantasia. Cetins e tafetás. Tudo isso é muito caro. E essa economia é uma contingência. Que na certa enriqueceria. Já a folia anestesia o que doía. Que a essa altura separar. Seria como carne da unha. Cada um já sabe do outro. Todas as manhas e mumunhas. E essa dor é uma experiência. Que de algum jeito nos transformaria. Já a agonia anestesia o que doía. Que a essa altura separar. Seria como carne da unha. Cada um já sabe do outro. Todas as manhas e mumunhas,Lulu Santos,271,10.0,Rock,Pop/Rock; Rock; Pop; MPB; Dance; Electronica; Romântico; Funk; Black Music; Gospel/Religioso; Rap; Funk Carioca; K-Pop/K-Rock; House; Disco; Surf Music; Axé; Soul Music; Reggae
2157,Redenção,"Acorda de manhã. Procura o que vestir. Já sabe aonde ir. (Aonde eu nunca quis te levar). O inverno está aí. Ele vem te buscar. Ele te faz sorrir. Mas veste algo quente que o frio vai chegar. Desligue o rádio e a TV. Porque no seu Domingo eu vou aparecer. Vai ser melhor para você viver. Ostenta ser feliz. Tudo que sempre quis. Mas melhor se cuidar. Com toda a tristeza que eu posso levar. E é só pra te devolver. Lembre que é caro me esquecer. Barato pra você. Não tente me esquecer, porque eu não vou deixar. Volte pra casa, vai chover. Porque eu fiz seu Domingo desaparecer. E, nem querendo, você vai viver longe de mim. Se eu te disser que eu não vou mais voltar. (Você irá me procurar?). Se eu te disser que eu não vou acordar. (Com quem você irá sonhar?). Se eu te disser que eu não vou mais mentir. Não vá acreditar.... (Mas eu não vou deixar). Desligue o rádio e a TV. Porque no seu Domingo eu vou aparecer. (Eu não vou deixar). Vai ser melhor para você viver longe de mim. (Mas eu não vou deixar). Volte pra casa, vai chover (Vou te dizer). (Eu não vou deixar, eu não vou deixar). Porque no seu Domingo eu vou aparecer. (Eu não vou deixar me esquecer). E, nem querendo, você vai viver longe de mim. Se eu te disser que eu não vou mais voltar. (Você irá me procurar?). Se eu te disser que eu não vou acordar. (Com quem você irá sonhar?). Se eu te disser que eu não vou mais mentir. Não vá acreditar.... Se eu te disser que eu não vou mais voltar. (Você irá me procurar). Se eu te disser que eu não vou acordar. (Com quem você irá sonhar). Se eu te disser que eu não vou mais mentir. Não vá acreditar.... by: bruna fernanda",Fresno,142,2.2,Rock,Pop/Rock; Emocore; Rock; Pop/Punk; Hardcore; Piano Rock; Rock Alternativo; Romântico; Post-Rock; Reggae; Hard Rock
5700,Elektra,"Quero te ver, não. Não quero te ver mais. Quero esquecer. Mas você não me deixa em paz. Você não é mais criança. Quem acredita sempre alcança. Vamos viver. Vamos nos entender. Vamos saber. O que Freud quis dizer. Quero beijar, não. Eu quero morder. Quero ensinar, não. Eu quero aprender. Quero te pegar na escola. E ser o seu dever de casa. Ser seu brinquedo. Ser seu fetiche. Ser o seu Pimp. E você minha bitch. Elektra, complexo de Elektra. Quero você. Mas não sei se você quer. Você é um bebê. Mas já é mulher. Você é minha pin up. E eu sou seu sugar daddy. Sem tempo a perder. Quero te Proteger. Mas posso esperar. Até você crescer. Elektra, complexo de Elektra. Quero saber. Eu não quero saber, não. Quero ceder sim. A essa tentação. Nada dessa culpa cristã. Se Adão mordeu a Maçã. Ás vezes te acho. Muito imatura. Mas logo me encaixo. Na sua loucura. Elektra, complexo de Elektra",RPM,64,1.9,Rock,Rock; Pop/Rock; Rock Alternativo; Pop; Hard Rock; MPB; Infantil; Gospel/Religioso; Soul Music; Clássico; Progressivo
7071,No Inverno Fica Tarde Mais Cedo,"Escuridão. noite liquefeita. tudo toma forma. do corpo que se deita. na escuridão. escuridão. nenhum olhar aceita. tudo se transforma. numa cama desfeita. na escuridão. escuridão. hora da colheita. pra quem semeou vento. numa cama desfeita. na escuridão. um corpo que se deita. um corpo em tempestade. agora já é tarde. solidão. hora da colheita. pra quem semeou o vento. num corpo que se deita. na solidão. de uma cama desfeita. um corpo em tempestade. agora já é tarde. no inverno fica tarde + cedo. só depois de perder você descobre que era um jogo. um jogo que não acaba nunca, nunca acaba empatado. se foi um jogo, você ganhou: eu perdi a direção. se foi um sonho, se foi o céu, eu não sei. eu que não sei perder, perdi o sono. na escuridão, na escuridão. só depois de perder você descobre que era um jogo. um jogo que não acaba nunca, nunca acaba empatado. se foi um jogo, você ganhou: eu perdi a direção. se foi um sonho, se foi o céu, eu não sei. eu que não sei perder, perdi o medo. da escuridão, da escuridão. Camila Paiva...",Engenheiros do Hawaii,193,11.9,Rock,Pop/Rock; Rock; Pop; Rock Alternativo; MPB; Sertanejo; Progressivo; Rap; Country; Axé; Folk; Forró; Dance; New Age; Metal; Grunge; Pop/Punk; Psicodelia; Chillout; Soft Rock; Punk Rock; Funk Carioca; Funk; Power-Pop; World Music; Hardcore; Gótico; Reggae
3725,Nessa Cidade,"Quando é preciso a gente tem que fazer. Sem levar a sério e nem entrar em crise. Como um bailarino que dança pra não morrer. Praticando a arte de saber viver. As coisas não tão diferentes. As coisas mudam com a gente. A gente muda até encontrar a paz. Pra não brigar com o mundo nunca mais. (Vamo viver). Vamo, vamo, vamo quando a gente quer. A gente dá um jeitim de chegar no fim. Se a liberdade estiver na nossa mente. Levo ela pro mundo e o mundo leva a gente. E a gente toca com mais amor e menos estresse. Porque a vida não precisa ser ruim. Nossos sonhos podem ser verdade. Se abrirmos mão da nossa vaidade. Pra não ser só mais um nessa cidade. Quando amanhecer a gente continua. No céu azul que eu nem sei descrever. Tomando um vinho que eu nem sei pronunciar. depois de passar a noite inteira com você. Baby, o que mais posso querer?. Quando amanhecer, quando amanhecer. Vamo, vamo, vamo quando a gente quer. A gente dá um jeitim de chegar no fim. Se a liberdade estiver na nossa mente. Levo ela pro mundo e o mundo leva a gente. E a gente vai, vai, vai. com mais amor e menos estresse. Porque a vida não precisa ser ruim. Nossos sonhos podem ser verdade. Se abrirmos mão da nossa vaidade. Pra não ser só mais um nessa cidade. Quando amanhecer a gente continua. No céu azul que eu nem sei descrever. Tomando um vinho que eu nem sei pronunciar. depois de passar a noite inteira com você. Baby, o que mais posso querer?. Quando amanhecer, quando amanhecer. Quando amanhecer. (quando amanhecer, a gente vê). Quando amanhecer. (quando amanhecer, a gente vê). Quando é preciso a gente tem que fazer",Nx Zero,122,3.4,Rock,Rock
6054,Sinergia,"Foi tudo tão intenso quando eu te avistei. E a intenção desperta o que o teu olhar induz. Esquece tudo ao redor e o que passou, passou. E teu instinto de liberdade é o que me conduz. Ela rouba minha brisa quando está por vir. O que há entre nós estava escrito. Longe do meu domínio é tudo tão incerto. E quando o sol se por, lembre que eu estarei aqui. Se aquela paz se for, lembre que eu estarei aqui. Depois de você, depois de você. Sei que olhar pra trás é ver que os outros, foram só os outros. Tracei diversos planos pra te convencer. Vamos brindar a sorte em ter um destino em comum. A sinergia é plena e a noite me leva onde for. Tua sede de viver é o que me seduz. Ela rouba minha brisa quando está por vir. O que há entre nós estava escrito. Longe do meu domínio é tudo tão incerto. E quando o sol se por, lembre que eu estarei aqui. Se aquela paz se for, lembre que eu estarei aqui. Depois de você, depois de você. Sei que olhar pra trás é ver que os outros, foram só os outros. Se te encontro e me perco, sua aura é única. Se te encontro e me perco, e nada faz voltar. E quando o sol se por, lembre que eu estarei aqui. Se aquela paz se for, lembre que eu estarei aqui. Depois de você, depois de você. Sei que olhar pra trás é ver que os outros, foram só os outros",Strike,49,1.3,Rock,Pop/Punk; Rock; Pop/Rock; Rock Alternativo; Punk Rock; Hardcore; Hard Rock; Rap; Reggae; Reggaeton; Axé; Emocore; Post-Rock; Blues; Funk Carioca; Ska; Sertanejo
1876,Gosto do Tudo Das Mulheres,Gosto do tudo nas mulheres. Minúcia que provoca. Uma interrogação. Centro cativante do universo. Empresta a voz ao verso. E amor à canção. Desde o seio que alimenta. Ao colo que dá proteção. Descortina a luz da vida. E a força oculta da paixão. Cada tudo tem um charme. Que se esconde atrás de um véu. E se perde na viagem. Do sexo que nos leva ao céu. Mulher que me ama. Mulher que me amou. Gosto do tudo de vocês. Que em mim ficou.... Mulher que me quer. Mulher que me quis. Amo vocês. E o tudo que me faz feliz,Erasmo Carlos,225,2.3,Rock,Rock; Jovem Guarda; Romântico; MPB; Soul Music; Psicodelia; Samba; Dance; Classic Rock; Fado; Forró; Funk; Axé; Bossa Nova
1240,Tarde de Outubro,"Peguei minhas coisas fui embora. Não queria mais voltar. Eu nunca quis presenciar o fim. Há dias que os dias passam devagar. Tudo se foi nada restou pra mim. Por isso estou aqui agora. Vou embora sem pensar. No que ficou pra começar ali. Mas eu só tinha algumas horas pra voltar. Tudo se foi, nada restou pra mim. [Refrão]. São coisas que somente o tempo irá curar. Se for para nunca mais te ver chorar. São coisas que somente o tempo irá curar. Se foi tudo vai passar. Peguei minhas coisas (peguei minhas coisas). Não queria mais voltar. Eu nunca quis presenciar o fim. Há dias que os dias passam devagar. Tudo se foi, nada restou pra mim. [Refrão]. São coisas que somente o tempo irá curar. Se for para nunca mais te ver chorar. São coisas que somente o tempo irá curar. Se foi tudo vai passar. Tudo vai passar. Tudo vai passar",CPM 22,114,3.2,Rock,Hardcore; Punk Rock; Rock; Pop/Rock; Hard Rock; Pop/Punk; Ska; Rock Alternativo; Axé; Heavy Metal; Grunge; Metal; Funk Carioca; Pop; Black Music; Emocore; J-Pop/J-Rock; Funk; Post-Rock; Velha Guarda; New Age; Power-Pop; Trilha Sonora; Jazz; Tecnopop; Gospel/Religioso; Reggae; Dance; Electronica; Romântico; Forró
351,Estou Com Saudades de Você,"As pedras do muro da sua casa. Já não me dizem nada. Pichadas, cobertas por cartazes. E um banda de volta na estrada. A gente adorava. Baladas me matam de saudade. Estou com saudade de você. Saudade de você. Na praça onde a gente namorava. Mendigos na calçada. Madrugadas me matam de saudade. Estou com saudade de você. Saudade de você. E agora com os olhos embaçados. Posso eu posso ver. É tão ruim. Como água entre os dedos. Ver você. Se perder de mim, se perder de mim. As chaves eu vou deixar numa sacola. Com as suas roupas perfumadas. Que me matam de saudade. Estou com saudade de você. Saudade de você. E agora com os olhos embaçados. Eu posso ver. É tão ruim. Como água entre os dedos. Ver você. Se perder de mim, se perder de mim. uauuu!!. Nas cartas ainda ouço suas palavras. Tão apaixonadas. Guardadas numa pequena caixa. E as fotos na parede da minha sala. Também não dizem nada. Amareladas, me dói tanta saudade. Estou com saudade de você. Saudade de você. Estou com saudade de você. Saudade de você",Biquini Cavadão,162,3.4,Rock,Rock; Pop/Rock; Romântico; Punk Rock; New Wave; Pós-Punk; Indie; MPB
7150,Pode Me Negar,Veja seu passado e reconheça..... que você me quis perdidamente. E eu não fui um sonho simplesmente. Fui realidade não se esqueça. Hoje Represento um pesadelo. é o que você diz a toda hora. mas quem alisava seus cabelos. guarda seu primeiro beijo agora. Pode me negar o quanto queira. Pode me esquece se for capaz. Pode me negar a vida inteira. Esquecer meu beijo mnnca mais!. Veja Quanta Coisa está Gravada. Marcas escondidas pela blusa. Mas há de ficar talvez confusa. Quando por um outro for amada. Hoje represento um pesadelo. é o que você diz a toda hora. mas quem alisava seus cabelos. guarda seu primeiro beijo agora. Pode me negar o quanto queira. Pode me esquece se for capaz. Pode me negar a vida inteira. Esquecer meu beijo nunca mais!,João Mineiro e Marciano,235,10.4,Sertanejo,Sertanejo; Romântico; Regional; Country; Velha Guarda; Forró; Clássico; Folk
2493,Esporte Classe A,Quando chega sexta-feira coração pula ao compasso no. rosto sorriso aberto vou para festa do laço começou a. vaca-gorda já falo a comissão viajo o sertão inteiro. atrás de pontuação ganhando individual laçador não tem. igual falo a federação.. Sou feliz aqui nas festas todo mundo é amigo avô. laçando com o neto esse o laço comprido caranda já tá. no jeito eo laço tá preparado mais um ponto positivo. na copa sou conçagrado a noite viola no peito cerveja. e muito respeito seis hora tô acordado.. A laçada é de dia a noite é o namoro vou levar pra. minha estante mais uma táça de ouro olho pro céu e. agradeço indereço meu chapéu essa armada eu ofereço. pra morena do bordéu a novilha vai trotando meu laço. vai se. fechando meu braço é um troféu. Sou laçador violeiro e meu peito é de aço acompanho os. amigos irmãos do rancho do laço levo trançado e a viola. na roda pego a cantar eu toca a noite interinha pra. nóis ve no que vai da eu sofro na despedida laço. comprido é minha vida é o esporte classe A,Conrado e Aleksandro,124,1.1,Sertanejo,Romântico; Sertanejo; Trilha Sonora; Country; Funk Carioca; House; Electro Swing; Axé; Black Music; Pop; R&B; Forró; World Music; Reggae; Rock; Funk; Electronica
7440,Não Tem Comparação,"Quando te vi chegar, brilhou mais forte o olhar. E o coração bateu, eu tive a certeza. É você e eu. Tudo encaixou tão bem e a gente foi além. E o coração bateu, eu tive a certeza. É você e eu. Um gosto pra gostar, um amor pra amar. Uma boca pra beijar, uma cama pra deitar. Um querer querendo mais. Um cochilo nós dois bem em paz. Sonhar alto nunca é demais. Te ganhei, me ganhou. Veio pra ficar e ficou. Foi bom ficar do lado da paixão. Como é bom. Procurei, me achei. Entregou, me entreguei. O nosso amor não tem comparação",Jorge e Mateus,238,34.7,Sertanejo,Romântico; Sertanejo; House; Axé; Country; Gospel/Religioso; Pop; Funk; Funk Carioca; Pagode; Forró; Black Music; Electronica; Dance; Electro Swing; Reggae; Samba; R&B; MPB; Rap; Blues; Bossa Nova; Pop/Rock; Classic Rock; Rock; Surf Music; Trilha Sonora; Velha Guarda; Folk; Clássico; Hip Hop; Gótico; Metal; Rock Alternativo; World Music; Soul Music; Reggaeton; Samba Enredo; Hard Rock; Disco; Indie; Rockabilly; Piano Rock; Trance; Fado; Pós-Punk; Trip-Hop; Grunge; Soft Rock; Regional; Instrumental; Pop/Punk; Tecnopop; J-Pop/J-Rock; Emocore
12618,Fostes Fiel,"Quantas vezes eu te vi chorando,. Outras vezes eu te vi pedindo,. Nas madrugadas,joelhos no chão,. Lágrimas no rosto,dor no coração.. Quantas vezes ouvi os teus gemidos. Outras vezes só os teus soluços. Quase sem forças,não me negou. Mas hoje estou aqui pra te abençoar. *Refrão*. Fostes fiel na tribulação,. Fostes fiel na hora da provação,. Fostes fiel sobre o pouco,. Sobre o muito meu filho te colocarei",Suellen Lima,135,1.7,Sertanejo,Gospel/Religioso; Romântico; Sertanejo; Instrumental; Clássico; Forró; Country; Infantil; Pop; Axé
