,SName,Lyric,Artist,Songs,Popularity,Genre,Genres
1356,Dindinha,".....Lalalaiá.....laiá.....laialá (4 vezes). Moça, menina......meu xodó. venha se perder.....tenha dó. Todo denguinho.....eu tô ficando. Mais que lenha na fogueira. Rebola, decote saia rendada. A Dinda é uma parada. Perna roliça, toda cheirosa. A Dindinha é toda prosa. Dindinha, Dindinha, Dindinha.....oi. Dindinha, Dindinha, Dindinha.....oi. Dindinha, Dindinha, Dindinha. Vou te tocar.....vou te namorar. Nesse seu batom.....é que eu quero me lambuzar. Oi Dindinha.....vê se me leva pro altar. Vou me afogar.....pro cê entender. De amor eu quero te matar. Oi Dindinha.....vê se me leva pro altar..",Art Popular,184,3.2,Samba,Pagode; Samba; Romântico; Dance; Pop; Hip Hop; Power-Pop; Hard Rock; Bossa Nova; Rap; Trilha Sonora; Sertanejo
4730,Louvação,"Vou fazer a louvação, louvação, louvação!. Do que deve ser louvado, ser louvado, ser louvado. Meu povo preste atenção, atenção, atenção!. E me escute com cuidado.. Louvando o que bem merece, deixando que é ruim de lado!. Louvando o que bem merece, deixe o que há ruim de lado!. E louvo pra começar na vida o que é bem maior,. louvo a esperança da gente na vida pra ser melhor.. Quem espera sempre alcança três vez salve a esperança!. Quem espera sempre alcança três vez salve a esperança!. Louvo quem espera sabendo que pra melhor esperar,. Procede bem quem não pára de sempre mais trabalhar,. Que só espera sentado quem se acha confomaduuu!. To fazendo a louvação, louvação, louvação,. Do que deve ser louvado, ser louvado, ser louvado,. Quem tiver me escutando, atenção, atenção,. que me escute com cuidado,. Louvando o que bem merece, deixando o que é ruim de lado,. Louvando o que bem merece, deixando o que é ruim de lado.. Louvo agora e louvo sempre, porque grande sempre é,. louvo a força do homem, a beleza da muié!. Louvo a paz pra ver na terra, louvo o amor que espanta a guerra!. Louvo a paz pra ver na terra, louvo o amor que espanta a guerra!. Louvo a amizade do amigo, que comigo há de morrer,. louvo a vida merecida de quem morre pra viver,. louvo a luta repetida da vida pra não morreeeer!. To fazendo a louvação, louvação, louvação,. do que deve ser louvado, ser louvado, ser louvado,. Quem tiver me escutando atenção, atenção,. falo de peito lavado,. Louvando o que bem merece, deixando o que é ruim de lado, louvando o que bem merece, deixe o que há ruim de lado.. Louvo a casa onde se mora de junto da companheira, louvo o jardim que se planta pra ver crescer a roseira, louvo a canção que se canta pra chamar a primavera, louvo a canção que se canta pra chamar a primavera, louvo quem canta e não canta, porque não sabe cantar, mas que cantará na certa quando enfim se apresentar o dia certo e preciso de toda gente cantaaaar!. E assim fiz a louvação, louvação, louvação, do que vi pra ser louvado, ser louvado, ser louvado, se me ouviram co'atenção, atenção, atenção, saberão se estive errado louvando o que bem merece, deixando o ruim de lado, louvando o que bem merece, deixando o ruim de lado, deixando o ruim de lado, deixando o ruim de lado, deixando o ruim de lado!",Jair Rodrigues,120,0.7,Samba,Samba; MPB; Bossa Nova; Sertanejo; Blues; Axé; Disco; Pop/Rock; Clássico
5475,Hermes Trimegistro Escreveu,"A 2.000 anos antes de Cristo. O Faraó Hermes Trismegisto escreveu. O maravilhoso tratado hermetico. Com uma ponta de diamante. E uma lâmina de esmeralda. Que foi encontrado vários séculos depois. Pelos soldados de Alexandre, o Grande. Na famosa pirâmide de ""Kinzer"". Salve Hermes Trismegisto que tem as três partes. Da filosofia universal. Se verdade, se mentira, certo, muito verdadeiro. A tá Hermes Trismegisto bua de esmeralda. Foi Hermes Trismegisto quem escreveu. Com uma ponta de diamante. E uma lâmina de esmeralda, ele escreveu. O que está em baixo. É como que está no alto. O que está no alto. É como que está em baixo, ele escreveu. Hermes Trismegisto, Hermes Trismegisto. Hermes Trismegisto, Hermes Trismegisto",Jorge Ben Jor,256,3.5,Samba,Samba; MPB; Funk; Jovem Guarda; Soul Music; Romântico; Blues; Bossa Nova; R&B; Infantil; Dance; Black Music; Rock; Tropical House; Country; Pagode; Soft Rock; Trip-Hop; World Music; Psicodelia; Jazz; Axé
5773,Venha Matar Saudades,Chora tristeza de viver assim. A loucura tomará conta de mim. Porque você me abandonou. E eu que lhe dediquei todo um grande amor. E vou pelas noites a vagar. Até você voltar num raio de sol. Mas se sentir que vale a pena. Venha matar saudades. Venha matar saudades. Venha matar saudades. Mas venha pra ficar,Katinguelê,137,1.7,Samba,Samba; Pagode; Romântico; Instrumental; Chillout; MPB; Black Music
7120,Por Favor Volta Pra Mim,Minha vida fica tão sem graça. Quando você não está aqui. Fico triste e o tempo não passa. Quando você não está aqui. Eu preciso de você de noite. Eu preciso de você de dia. Eu preciso de você o ano todo. Eu preciso de você por toda vida. Meu Amor. Melhor amigo. Por favor. Volta pra mim. Vem fazer amor comigo. Sem você é um sofrer sem fim (2x),Pixote,167,8.8,Samba,Romântico; Samba; Pagode; Trilha Sonora; Funk; Trip-Hop; K-Pop/K-Rock; Chillout; Clássico; Blues; Samba Enredo; Black Music; MPB; Reggae
2267,Nosso Samba,"Aquela história. que o samba da gente não é mais o mesmo. papo furado. de toda essa gente quem não tem respeito. e se esquece que quando começa nossa batucada. o couro come e quando se liga já é madrugada.. Mas apesar de estar começando e de ser muito cedo. já to sentindo a força do samba pulsando no peito. Eu faço parte de uma galera que enfrenta o batente. que acorda cedo e quando anoitece. Não quebra a corrente, falei..... Porque o Bom Gosto chegou. o povo contagiou. é impossível ninguém ficar ligado. e até quem criticou, anda sentindo o calor. Com o nosso samba mandando o seu recado.",Bom Gosto,88,3.0,Samba,Samba
737,Parabéns Pra Você,Se o tempo passou e não fui feliz. Sei lá das razões foi. Deus quem não quis. Você me propôs e não foi capaz. Fez pouco de mim até nunca mais. A dor que passou deixou cicatriz. Pois aquele amor já tinha raiz. Profunda no coração. Foi tão ruim amar em vão. Agora me deixe ir. Adeus eu vou fugir da ilusão. Parabéns pra você por tentar me enganar. Me ferir por prazer num capricho vulgar. Me querer por querer. Pra depois se negar à decisão. Abusar sem pensar foi demais pro meu coração. O azar é seu. Se daqui pra frente esta saudade. Em sua vida for metade. Por favor não vem me procurar,Alcione,374,5.1,Samba,Samba; Romântico; MPB; Pagode; Axé; Bossa Nova; Forró; Velha Guarda; Samba Enredo; Disco; Pop; Piano Rock; Trilha Sonora; Heavy Metal; Electronica; Black Music; Sertanejo; Jovem Guarda; Gospel/Religioso; Blues; Infantil; Hip Hop
1227,Nem Tanto a Terra Nem Tanto o Mar,"Não sou brisa nem sou vendaval. nem pimenta nem assim sem sal. sou da noite sou do dia. carnaval sem fantasia. Se você quiser eu mudo sim. sou teu Pierrot teu Arlequim. um amante dedicado pra ti dar só prazer. te fazer mais feliz no amor. É ver a luz ascender pra clarear nossas vidas. é o fim das mágoas sofridas. e quem sofreu é pra sonhar e acreditar totalmente. Nem tanto a terra, nem tanto ao mar. vamos tentar novamente. Não sou brisa nem sou vendaval. nem pimenta nem assim sem sal. sou da noite sou do dia. carnaval sem fantasia. Se você quiser eu mudo sim. sou teu Pierrot teu Arlequim. um amante dedicado pra ti dar só prazer. te fazer mais feliz no amor. É ver a luz ascender pra clarear nossas vidas. é o fim das mágoas sofridas. e quem sofreu é pra sonhar e acreditar totalmente. Nem tanto a terra, nem tanto ao mar. vamos tentar novamente no amor. É ver a luz ascender pra clarear nossas vidas. é o fim das mágoas sofridas. e quem sofreu é pra sonhar e acreditar totalmente. Nem tanto a terra, nem tanto ao mar. vamos tentar novamente (bis). não sou brisa nem sou vendaval. . . . ***************************. Enviado por:. Luiza - Rio de Janeiro",Arlindo Cruz,201,5.2,Samba,Samba; Pagode; Samba Enredo; Romântico; Axé; Reggae; Velha Guarda; Black Music; Forró; Funk
8076,Sou o Cara Pra Você,"Toda vez que te vejo eu te quero mais, mais, mais. Larga logo esse cara que ele não te satisfaz mais. Eu não sei por que você fica se enganando assim. Vê se para e repara que você nasceu pra mim!. Ele anda dizendo por aí que você engordou,. A rapaziada disse que ele até te apelidou.. Agora me diz se é isso que você sonhou,. Ser tratada como baga e eu aqui cheio de amor. Volta então pra mim, sei os seus defeitos. Quero mesmo assim, pra mim tá perfeito. O que foi fazer? Se arriscar pra quê?. Só olhar pra ele que você vai perceber. Ele não te ama como eu, te quer mais do que eu. Duvido que ele faz amor gostoso como eu. O seu tempo tá no fim, é melhor você se decidir. Tem uma novinha atrás de mim. Ê ê ê ê ê ê eu sou o cara pra você. Ê ê ê ê ê ê eu só você que não quer ver. Ê ê ê ê ê ê eu sou o cara pra você. Ê ê ê ê ê ê eu melhor que eu não vai ter. Toda vez que te vejo eu te quero mais, mais, mais. Larga logo esse cara que ele não te satisfaz mais. Eu não sei por que você fica se enganando assim. Vê se para e repara que você nasceu pra mim!. Ele anda dizendo por aí que você engordou,. A rapaziada disse que ele até te apelidou.. Agora me diz se é isso que você sonhou,. Ser tratada como baga e eu aqui cheio de amor. Volta então pra mim, sei os seus defeitos. Quero mesmo assim, pra mim tá perfeito. O que foi fazer? Se arriscar pra quê?. Só olhar pra ele que você vai perceber. Ele não te ama como eu, te quer mais do que eu. Duvido que ele faz amor gostoso como eu. O seu tempo tá no fim, é melhor você se decidir. Tem uma novinha atrás de mim. Ê ê ê ê ê ê eu sou o cara pra você. Ê ê ê ê ê ê eu só você que não quer ver. Ê ê ê ê ê ê eu sou o cara pra você. Ê ê ê ê ê ê eu melhor que eu não vai ter",Thiaguinho,143,13.8,Samba,Pagode; Romântico; Samba; Trilha Sonora; Black Music; Forró; Electronica; Funk Carioca; Sertanejo; Funk; Rock Alternativo; Jovem Guarda; Chillout; Pop/Rock; Disco; Infantil; World Music
6975,"Eu Fui no Mato, Crioula","Eu fui no mato, crioula. Cortá cipó, crioula. Eu vi um bicho, crioula. De um olho só. Não era bicho, crioula. Não era nada, crioula. Era uma velha, crioula. Muito assanhada. Não quero teima, olé. Não vá teimá, sinhá. Quero brincá, olá. No carnavá. Eu fui num auto, crioula. De lotação, crioula. Tinha boi dentro, crioula. De jaquetão. Fui ao teatro, crioula. Ai, não se zangue, crioula. Não pude entrar, crioula. Cai no mangue. Não quero teima, olé. Não vá teimá, olá. Quero brincá. No carnavá",Pixinguinha,31,0.7,Samba,Samba; MPB; Velha Guarda; Instrumental; Bossa Nova; Samba Enredo; Pop; Blues; Trilha Sonora; Romântico; Axé; Heavy Metal; Black Music
