,SName,Lyric,Artist,Songs,Popularity,Genre,Genres
10698,Ladrão,"Ladrão. Calma aí, não precisa me machucar não. Abaixa essa arma, já levantei as minhas mãos. Leva o que for de valor. Não é um assalto, cê tá me fazendo é um favor. Leva o carro impregnado. Com o perfume que ela usava. Leva essa aliança que pra mim não vale nada. Peraí, onde é que cê vai?. O mais importante cê não quer levar. Leva o meu celular. Que se eu beber, eu vou querer ligar. Chorando, implorando pra voltar. Pode levar... Pode levar!. Leva o meu celular. Que se eu beber, eu vou querer ligar. Chorando, implorando pra voltar. Pode levar, leva tudo sem dó. Ainda bem que eu não sei. O número dela de cor",Naiara Azevedo,95,3.4,Sertanejo,Romântico; Country; Sertanejo; Rock
12695,Sentimento,"(Pra quem está muito apaixondado,Tá chegando aí. Cantem, dancem e se emocionem com este Sentimento). Cada vez que eu abro o fole desta gaita. E me desmancho em acordes com sentimento. Talvez seja pra esquecer aquela china. Que por querer me causou tanto sofrimento. Cada nota que o fole solta pra fora. É um pedaço da vida desta peão. Depois de camichar esse profundo. Só conseguiram machucar seu coração. O tempo sempre apaga. Por maior que seja a dor. Eu sei que um dia, vou poder. Viver um novo amor. Hoje vivo procurando algum motivo. Pra que eu possa outra vez recomeçar. E estou certo nos braços dessa canção. Vou poder um novo rumor encontrar. Ó prendinha que agora estás ao meu lado. És o acorde imasino nesta canção. A comunhão entre tu e as melodias. Trouxe de volta o amor ao meu coração. A comunhão entre tu e as melodias. Trouxe de volta o amor ao meu coração. O tempo sempre apaga. Por maior que seja a dor. Eu sei que um dia, vou poder. Viver um novo amor",Tchê Garotos,147,1.0,Sertanejo,Sertanejo; Regional; Romântico; Trilha Sonora; Dance; Forró; Country; Músicas Gaúchas; House; Funk Carioca; Axé; Black Music; Pop
1088,Tenho Ciúme de Tudo,"Tu és, a criatura mais linda que meus olhos já viram. Tu tens a boca mais linda, que a minha boca beijou. São meus os teus lábios, esses lábios que os meus. desejos mataram. São minhas tuas mãos, essas mãos, que as minhas mãos. afagaram. Sou louco por ti, eu sofro por ti, te amo em segredo. Adoro teu corpo divino, que pelas mãos do destino, a. mim tu viestes. Tenho ciúme do sol, do luar e do mar, tenho ciúme de. tudo. Tenho ciúme até, da roupa que tu vestes.",Bruno e Marrone,356,23.5,Sertanejo,Romântico; Sertanejo; Forró; Country; Axé; Funk Carioca; Black Music; Dance; Funk; Instrumental; Gospel/Religioso; MPB; Músicas Gaúchas; Trilha Sonora; Bossa Nova; Disco; Pagode; Jovem Guarda; Electronica; Pop; Rock; Kizomba; Regional; Reggae; Samba; Tecnopop; Rock Alternativo; Gótico; Soul Music; World Music; Pop/Rock; Grunge; J-Pop/J-Rock; Velha Guarda; Rap
336,Seio de Minas,"Eu nasci no celeiro da arte. No berço mineiro. Sou do campo, da serra. Onde impera o minério de ferro. Eu carrego comigo no sangue um dom verdadeiro. De cantar melodias de Minas. No Brasil inteiro. Sou das Minas de ouro. Das montanhas Gerais. Eu sou filha dos montes. E das estradas reais. Meu caminho primeiro. Vem brotar dessa fonte. Sou do seio de Minas. Nesse estado um diamante",Paula Fernandes,215,10.4,Sertanejo,Sertanejo; Country; Pop; Romântico; Regional; Trilha Sonora; Funk Carioca; House; Funk; Dance; Axé; MPB; Electro Swing; Black Music; Gospel/Religioso; Bossa Nova; Pop/Rock; Electronica; R&B; Hard Rock; Disco; Blues; Forró; Rap; Rock; Kizomba; Ska; Samba; Emocore; Instrumental; Folk; J-Pop/J-Rock; Infantil; World Music; Clássico; Hip Hop; Classic Rock; Fado; K-Pop/K-Rock; Gótico; Soul Music; Surf Music; Reggae; Trance; Grunge; Heavy Metal; Jazz; Jovem Guarda; Velha Guarda; Pagode
8004,Melhor Amigo Seu,"Tem um cara apaixonado que ta sempre do seu lado. Você nem imagina quem é. Esse cara ta sofrendo, vive chorando e bebendo. Por você mulher. Todo mundo já percebeu, ta na cara só você não vê. Ele é o melhor amigo seu, será que ainda preciso lhe dizer. Que esse cara sou eu, sou eu, sou eu. Que dá a vida por você. A solidão doeu doeu doeu, não tive mais como esconder. Que esse cara sou eu, sou eu, sou eu. Faz o que você quiser. Posso até ser amigo seu, mas só te vejo como mulher",Leo Magalhães,113,2.5,Sertanejo,Romântico; Sertanejo; Forró; Trilha Sonora; Country; Instrumental; Axé; Gospel/Religioso; Electronica; Funk; Jovem Guarda; Funk Carioca; Kizomba; Black Music; Hard Rock; Pagode; Dance
4248,Tá Ligado Não?,"A minha pegada ta virando a sensação. O Gd tocando em todo o paredão. Todo mundo cantando e dançando esse refrão. Toda a banda agora ta tocando um batidão. Tá ligado não. Tá ligado não. Tá ligado não. Tá ligado não. Tô não. Tô não. Tô não, tô não, tô não. Eu lancei agora um sucesso sem noção. A mulherada desce rebolando ate o chão. Todo mundo cantando e dançando esse refrão. La no Youtube já, já passou de um milhão. Tá ligado não. Tá ligado não. Tá ligado não. Tá ligado não. Tô não. Tô não. Tô não, tô não, tô não",Gabriel Diniz,198,5.9,Sertanejo,Sertanejo; Forró; Romântico; Axé; Funk Carioca
10357,Jamais Quero Te Ver,Não sei por que tu me desprezas. Se eu nasci prá te querer. Não sei por que me abandonastes. Sem ti eu vivo triste a padecer. Agora arrependida quer voltar. E eu que sofri por você. Jamais quero te ver. Eu peço esquecer o passado. Não fale mais em mim por favor. Sem ti estou conformado. Não quero mais pensar em te querer,Milionário e José Rico,346,14.9,Sertanejo,Sertanejo; Romântico; Trilha Sonora; Disco; Regional; Country; World Music; Forró; Folk; Gospel/Religioso; Fado; Reggaeton; Soul Music; Bossa Nova; Pagode; Jazz; Funk; Axé; Velha Guarda; R&B
11979,Palmas Para O Amor,"Palmas para o amor. E uma vaia na solidão. Viva a felicidade. E um beijo na Paixão. De coração para coração. Tem apaixonado ai?. Tem sim senhor. Tem amor para mim ai?. Tem sim senhor. Tem abraços e desejos?. Tem sim senhor. Tem paixão querendo beijo?. Tem sim senhor. Tem peão apaixonado?. Tem sim senhor. Tem muié sem namorado?. Tem sim senhor. Tem amor de verdade?. Tem sim senhor. Alegria e felicidade. Tem sim senhor. Muito amor, quanto amor. Palmas para o amor. E uma vaia na solidão. Viva a felicidade. E um beijo na paixão. De coração para coração...... .",Rionegro & Solimões,252,3.0,Sertanejo,Sertanejo
9316,Maquiagem Borrada,"Outra vez vem você. Com a maquiagem borrada. Voltando altas horas pra casa. Com o sapato e o coração nas mãos. É dá pra ver que. Você bebeu além da conta. O que está acontecendo, me conta?. Não esconda abre o jogo. Eu sei que ele te faz sofrer. Mas no fundo a culpada é você. Um dia ainda aprende. Vai ver que a gente. é o melhor pra você. E aí? Até quando vai sofrer assim?. O que tem nele que falta em mim?. Pra quê chorar se você pode sorrir. E aí? Tem cinco minutos pra se decidir. Se fico pra sempre ou vou desistir. Diz o que vai ser e aí?",Marcos e Fernando,141,0.7,Sertanejo,Sertanejo; Romântico; Funk Carioca; Pop; House; Pop/Rock; Electronica; Electro Swing; Black Music; Reggae; Regional; Axé
4111,Água Mole,"Mesmo me fazendo sofrer. Nunca desisti de você. Você dizia que eu era louco, tá ai minha loucura. Água mole em pedra dura. Tanto bate até que fura. Sei que tá lembrada. Quantas vezes te ligava. E você sem atender. Fazendo chorar, chorar por você. E quando atendia, você vinha com irônia. Dizia que eu ia era enlouquecer. Mesmo me fazendo sofrer. Nunca desisti de você. Você dizia que eu era louco. Ta ai minha loucura. Água mole em pedra dura. Tanto bate ate que fura. Agora tá se humilhando, se declarando. Tá me olhando, tá louca por mim. Agora ta se humilhando. Se declarando. Me ligando apaixonada toda hora atrás de mim",Gabriel Diniz,198,5.9,Sertanejo,Sertanejo; Forró; Romântico; Axé; Funk Carioca
